曲名,歌手名,ユーザー,スコア,日付
別の人の彼女になったよ,wacci,まつりく,88.053,2024/06/28 16:36:37
115万キロのフィルム,Official髭男dism,まつりく,88.042,2024/06/28 16:42:52
大阪LOVER,DREAMS COME TRUE,まつりく,83.941,2024/06/28 17:27:49
シグナル(生音),WANIMA,まつりく,91.778,2024/06/28 17:33:13
光るなら(生音),Goose house,まつりく,90.109,2024/06/28 17:37:28
GONG,WANIMA,まつりく,88.687,2024/06/28 17:42:40
瞬き(生音),back number,まつりく,89.655,2024/06/28 17:48:07
瞬き(生音),back number,まつりく,91.352,2024/06/28 17:54:03
いつか,Saucy Dog,まつりく,87.154,2024/06/28 18:05:24
Friend Ship,星野 源,まつりく,88.544,2024/06/28 18:38:10
SUN,星野 源,まつりく,85.819,2024/06/28 18:43:12
地獄でなぜ悪い,星野 源,まつりく,87.088,2024/06/28 18:47:59
くだらないの中に,星野 源,まつりく,87.170,2024/06/28 18:52:09
Crazy Crazy,星野 源,まつりく,88.381,2024/06/28 18:57:00
わたがし,back number,まつりく,84.640,2024/06/28 19:29:45
マジで感謝!(アニメオープニングVer.),T-Pistonz+KMC,まつりく,87.357,2024/06/28 19:35:53
つながリーヨ(アニメバージョン),T-Pistonz+KMC,まつりく,87.567,2024/06/28 19:39:50
アイラブユー(生音),back number,まつりく,80.831,2024/07/11 15:29:57
アイラブユー(生音),back number,まつりく,82.377,2024/07/11 15:34:42
黄色(生音),back number,まつりく,83.168,2024/07/11 15:41:01
恋だろ(生音),wacci,まつりく,87.510,2024/07/11 16:07:29
恋だろ(生音),wacci,まつりく,89.847,2024/07/11 16:18:55
恋だろ(生音),wacci,まつりく,87.216,2024/07/11 16:26:24
Friend Ship,星野 源,まつりく,88.847,2024/07/11 16:40:14
恋 (プロオケ)(生音),back number,まつりく,89.470,2024/07/11 16:46:07
恋,星野 源,まつりく,87.285,2024/07/11 17:09:58
アップルパイ,back number,まつりく,81.756,2024/07/11 17:17:06
黄色(生音),back number,まつりく,85.789,2024/07/11 17:21:04
クリスマスソング(生音),back number,まつりく,78.278,2024/07/11 17:30:05
感情(生音),wacci,まつりく,87.992,2024/07/11 17:35:51
シグナル(生音),WANIMA,まつりく,90.762,2024/07/11 17:44:37
