曲名,歌手名,ユーザー,スコア,日付
君の為のキミノウタ(ビデオクリップバージョン),川崎鷹也,まつりく,91.382,2024/12/13 18:30:53
Lemon,米津玄師,まつりく,85.388,2024/12/27 13:58:25
歌うたいのバラッド,斉藤和義,まつりく,87.704,2024/12/27 14:09:04
果てない空,嵐(アラシ),まつりく,88.281,2024/12/27 14:18:38
LOSER,米津玄師,まつりく,84.484,2024/12/27 14:29:53
ライラック,Mrs. GREEN APPLE,まつりく,85.852,2024/12/27 14:40:11
アップルパイ,back number,まつりく,84.885,2024/12/27 14:54:08
思い出せなくなるその日まで,back number,まつりく,86.439,2024/12/27 15:11:05
Monster,嵐(アラシ),まつりく,89.075,2024/12/27 15:24:54
チェックのワンピース,back number,まつりく,90.122,2024/12/27 15:40:21
桜,コブクロ,まつりく,91.975,2024/12/27 16:02:24
恋,back number,まつりく,92.912,2024/12/27 16:19:39
サクラウサギ,川崎鷹也,まつりく,92.044,2024/12/27 16:33:55
Lemon,米津玄師,まつりく,89.108,2024/12/27 16:49:48
さよならエレジー,菅田将暉,まつりく,90.692,2024/12/27 17:03:52
クリスマスソング,back number,まつりく,88.117,2024/12/27 17:24:26
シングルベッド,シャ乱Q,まつりく,91.844,2024/12/27 17:32:12
君の為のキミノウタ(ビデオクリップバージョン),川崎鷹也,まつりく,88.135,2024/12/27 17:55:21
魔法の絨毯,川崎鷹也,まつりく,88.807,2024/12/27 18:01:36
小さな恋のうた,MONGOL800,まつりく,90.945,2024/12/27 18:18:06
灰色と青(+菅田将暉),米津玄師,まつりく,92.226,2024/12/27 18:48:18
果てない空,嵐(アラシ),まつりく,86.778,2024/12/27 19:05:46
眠り姫,SEKAI NO OWARI(世界の終わり),まつりく,89.199,2024/12/27 19:12:43
粉雪,レミオロメン,まつりく,89.445,2024/12/27 19:29:07
水平線,back number,まつりく,88.998,2024/12/27 20:09:52
I LOVE YOU,尾崎豊,まつりく,86.964,2024/12/27 20:24:39
家族になろうよ,福山雅治,まつりく,83.789,2024/12/27 20:39:26
愛のかたまり,KinKi Kids,まつりく,88.993,2025/01/02 17:31:34
小さな恋のうた,MONGOL800,まつりく,93.574,2025/01/02 17:41:08
愛のかたまり,KinKi Kids,まつりく,92.354,2025/01/02 18:11:06
Monster,嵐(アラシ),まつりく,92.317,2025/01/02 18:22:32
果てない空,嵐(アラシ),まつりく,91.992,2025/01/02 18:32:33
虹,菅田将暉,まつりく,93.720,2025/01/02 18:41:50
手紙,back number,まつりく,91.067,2025/01/02 18:50:36
ピースサイン,米津玄師,まつりく,89.130,2025/01/02 18:59:31
虹色の戦争,SEKAI NO OWARI(世界の終わり),まつりく,92.429,2025/01/02 19:08:05
Lemon,米津玄師,まつりく,91.456,2025/01/02 19:17:41
ドライフラワー,優里,まつりく,91.659,2025/01/02 19:27:18
3月9日,レミオロメン,まつりく,93.348,2025/01/02 19:37:35
カレンダー,川崎鷹也,まつりく,92.035,2025/01/02 19:47:18
世界に一つだけの花,SMAP,まつりく,93.646,2025/01/02 19:57:22
おかえり,Tani Yuuki,まつりく,91.124,2025/01/02 20:07:44
Family Song,星野 源,まつりく,91.345,2025/01/02 20:16:55
キンモクセイ,オレンジスパイニクラブ,まつりく,87.595,2025/01/02 20:26:59
シングルベッド,シャ乱Q,まつりく,94.490,2025/01/02 21:04:17
くだらないの中に,星野 源,まつりく,92.633,2025/01/02 21:34:41
地獄でなぜ悪い,星野 源,まつりく,91.644,2025/01/02 21:43:09
恋,back number,まつりく,94.398,2025/01/02 21:51:44
桜,コブクロ,まつりく,95.024,2025/01/02 22:01:58
灰色と青(+菅田将暉),米津玄師,まつりく,93.097,2025/01/02 22:13:11
Crazy Crazy,星野 源,まつりく,91.143,2025/01/02 22:23:30
新しい恋人達に,back number,まつりく,86.902,2025/01/02 22:33:02
僕と僕,川崎鷹也,まつりく,92.762,2025/01/02 22:43:23
僕は君の事が好きだけど君は僕を別に好きじゃないみたい,back number,まつりく,89.488,2025/01/02 23:00:14
花束のかわりにメロディーを,清水翔太,まつりく,90.496,2025/01/02 23:24:39
美しい鰭(名探偵コナンアニメバージョン),スピッツ,まつりく,90.096,2025/01/02 23:33:23
familie,Mrs. GREEN APPLE,まつりく,84.123,2025/01/02 23:41:04
シングルベッド,シャ乱Q,まつりく,94.058,2025/01/02 23:45:20
黄色,back number,まつりく,92.211,2025/01/03 00:02:43
チェックのワンピース,back number,まつりく,90.178,2025/01/03 00:08:49
サクラウサギ,川崎鷹也,まつりく,91.230,2025/01/03 00:20:29
Friend Ship,星野 源,まつりく,90.657,2025/01/03 00:33:17
君に届け,flumpool,まつりく,92.426,2025/01/03 00:59:52
道,EXILE,まつりく,85.374,2025/01/03 01:10:24
さよならエレジー,菅田将暉,まつりく,91.152,2025/01/03 01:16:27
I wonder,Da-iCE,まつりく,83.230,2025/01/03 01:52:02
白い恋人達,桑田佳祐,まつりく,88.892,2025/01/06 20:08:42
さよならエレジー,菅田将暉,まつりく,92.993,2025/01/06 20:21:28
粉雪,レミオロメン,まつりく,93.988,2025/01/06 20:45:51
One Love,嵐(アラシ),まつりく,92.531,2025/01/06 21:05:18
海の声,浦島太郎(桐谷健太),まつりく,90.168,2025/01/06 21:19:30
インフェルノ,Mrs. GREEN APPLE,まつりく,82.694,2025/01/06 23:26:45
Lemon,米津玄師,まつりく,92.130,2025/01/06 23:46:35
眠り姫,SEKAI NO OWARI(世界の終わり),まつりく,91.619,2025/01/07 00:03:34
怪獣の花唄,Vaundy,まつりく,88.543,2025/01/07 00:16:09
恋だろ,wacci,まつりく,91.353,2025/01/07 00:39:48
いつか,Saucy Dog,まつりく,88.822,2025/01/07 01:01:24
桜,コブクロ,まつりく,94.991,2025/01/07 01:18:54
天体観測,BUMP OF CHICKEN,まつりく,89.891,2025/01/07 01:32:03
アイネクライネ,米津玄師,まつりく,89.158,2025/01/07 02:03:45
恋人ごっこ,マカロニえんぴつ,まつりく,89.008,2025/01/07 02:18:06
シングルベッド,シャ乱Q,まつりく,94.166,2025/01/07 02:36:29
はいよろこんで,こっちのけんと,まつりく,89.062,2025/01/07 02:57:12
Bling-Bang-Bang-Born,Creepy Nuts,まつりく,86.184,2025/01/07 03:32:30
灰色と青(+菅田将暉),米津玄師,まつりく,92.452,2025/01/07 04:10:49
灰色と青(+菅田将暉),米津玄師,まつりく,94.447,2025/01/25 14:42:22
僕と僕,川崎鷹也,まつりく,95.055,2025/01/25 14:53:01
恋,back number,まつりく,94.978,2025/01/25 15:02:21
感情,wacci,まつりく,94.551,2025/01/25 15:10:45
One Love,嵐(アラシ),まつりく,93.307,2025/01/25 15:29:42
Friend Ship,星野 源,まつりく,92.818,2025/01/25 15:39:45
君の為のキミノウタ(ビデオクリップバージョン),川崎鷹也,まつりく,94.520,2025/01/25 15:49:19
Monster,嵐(アラシ),まつりく,93.803,2025/01/25 15:57:22
Crazy Crazy,星野 源,まつりく,93.531,2025/01/25 16:06:51
夜空ノムコウ,SMAP,まつりく,67.447,2025/01/25 16:15:02
桜晴,優里,まつりく,91.273,2025/02/01 18:19:23
赤い糸,コブクロ,まつりく,93.214,2025/02/01 18:28:30
小さな恋のうた,MONGOL800,まつりく,92.077,2025/02/01 18:39:30
灰色と青(+菅田将暉),米津玄師,まつりく,95.387,2025/02/01 18:48:36
メランコリーキッチン,米津玄師,まつりく,87.862,2025/02/01 18:59:01
アイネクライネ,米津玄師,まつりく,91.471,2025/02/01 19:06:48
LOSER,米津玄師,まつりく,88.992,2025/02/01 19:17:18
Flamingo,米津玄師,まつりく,88.128,2025/02/01 19:25:39
familie,Mrs. GREEN APPLE,まつりく,87.199,2025/02/01 19:33:22
ワンナイト,ヤングスキニー,まつりく,88.753,2025/02/01 19:42:33
どんなときも。,槇原敬之(Makihara),まつりく,85.693,2025/02/01 19:52:29
蕾,コブクロ,まつりく,93.422,2025/02/01 20:02:41
本当はね、,ヤングスキニー,まつりく,86.501,2025/02/01 20:16:49
チャンカパーナ,NEWS,まつりく,90.911,2025/02/01 20:26:05
未来,コブクロ,まつりく,91.482,2025/02/01 20:36:17
HANABI,Mr.Children,まつりく,91.468,2025/02/01 20:46:31
果てない空,嵐(アラシ),まつりく,93.658,2025/02/01 21:02:17
チェックのワンピース,back number,まつりく,93.393,2025/02/01 21:14:10
地獄でなぜ悪い,星野 源,まつりく,91.678,2025/02/01 21:22:14
SUN,星野 源,まつりく,89.441,2025/02/01 21:30:11
恋,back number,まつりく,93.151,2025/02/01 21:38:48
僕と僕,川崎鷹也,まつりく,94.295,2025/02/01 21:50:20
サクラウサギ,川崎鷹也,まつりく,94.731,2025/02/01 21:59:45
恋だろ,wacci,まつりく,92.493,2025/02/01 22:21:35
さよならエレジー,菅田将暉,まつりく,92.821,2025/02/01 23:47:15
夜空ノムコウ,SMAP,まつりく,88.237,2025/02/02 00:00:04
友  ～旅立ちの時～,ゆず,まつりく,90.429,2025/02/02 00:13:04
道,EXILE,まつりく,95.527,2025/02/02 00:23:34
ドライフラワー,優里,まつりく,92.667,2025/02/02 00:33:36
ひまわりの約束,秦 基博,まつりく,93.032,2025/02/02 00:43:19
Overdose,なとり,まつりく,88.732,2025/02/02 00:53:45
おかえり,Tani Yuuki,まつりく,89.443,2025/02/02 01:02:23
キセキ,GReeeeN,まつりく,84.612,2025/02/02 01:07:18
オールドファッション,back number,まつりく,88.100,2025/02/02 01:10:22
バニラ,きゃない,まつりく,88.800,2025/02/07 13:36:32
ワンナイト,ヤングスキニー,まつりく,87.116,2025/02/07 13:40:45
ロングホープ・フィリア,菅田将暉,まつりく,80.862,2025/02/07 13:45:37
地獄でなぜ悪い,星野 源,まつりく,90.503,2025/02/07 13:50:52
チェックのワンピース,back number,まつりく,90.732,2025/02/07 13:55:59
桜晴,優里,まつりく,93.320,2025/02/07 14:00:46
赤い糸,コブクロ,まつりく,95.524,2025/02/07 14:05:38
桜,コブクロ,まつりく,95.687,2025/02/07 14:13:07
灰色と青(+菅田将暉),米津玄師,まつりく,93.735,2025/02/07 14:20:08
HANABI,Mr.Children,まつりく,91.072,2025/02/07 14:28:10
僕と僕,川崎鷹也,まつりく,94.298,2025/02/07 14:36:05
恋,back number,まつりく,95.536,2025/02/07 14:43:53
小さな恋のうた,MONGOL800,まつりく,92.509,2025/02/07 14:48:46
恋,星野 源,まつりく,92.583,2025/02/07 14:53:16
チェックのワンピース,back number,まつりく,94.762,2025/02/07 14:59:11
メランコリーキッチン,米津玄師,まつりく,88.034,2025/02/07 15:06:20
アイネクライネ,米津玄師,まつりく,91.253,2025/02/07 15:11:20
Lemon,米津玄師,まつりく,91.242,2025/02/07 15:17:07
馬と鹿,米津玄師,まつりく,86.949,2025/02/07 15:21:44
Monster,嵐(アラシ),まつりく,90.841,2025/02/07 15:30:21
奏(かなで),スキマスイッチ,まつりく,91.870,2025/02/07 15:36:33
歌うたいのバラッド,斉藤和義,まつりく,93.762,2025/02/07 16:14:44
未来,コブクロ,まつりく,91.204,2025/02/07 16:30:43
サクラウサギ,川崎鷹也,まつりく,93.961,2025/02/07 16:41:31
メランコリーキッチン,米津玄師,まつりく,88.188,2025/02/07 16:47:26
サウダージ,ポルノグラフィティ,まつりく,90.007,2025/02/07 17:00:32
Bunny Girl,AKASAKI,まつりく,90.493,2025/02/07 17:06:55
ワンナイト,ヤングスキニー,まつりく,91.064,2025/02/07 17:11:47
366日,川崎鷹也,まつりく,90.240,2025/02/07 17:18:11
灰色と青(+菅田将暉),米津玄師,まつりく,93.111,2025/02/07 17:27:27
奏(かなで),スキマスイッチ,まつりく,91.175,2025/02/07 17:35:16
くだらないの中に,星野 源,まつりく,90.334,2025/02/07 18:19:15
ラストバージン,RADWIMPS,まつりく,90.658,2025/02/07 18:26:18
君の為のキミノウタ,川崎鷹也,まつりく,92.310,2025/02/07 18:31:55
カレンダー,川崎鷹也,まつりく,93.493,2025/02/07 18:38:02
ビリミリオン,優里,まつりく,90.320,2025/02/07 18:42:56
ドライフラワー,優里,まつりく,91.321,2025/02/07 18:47:23
つながリーヨ(アニメバージョン),T-Pistonz+KMC,まつりく,88.161,2025/02/07 18:54:43
星を仰ぐ,菅田将暉,まつりく,91.004,2025/02/07 18:59:54
炎と森のカーニバル,SEKAI NO OWARI(世界の終わり),まつりく,90.957,2025/02/07 19:05:37
ランデヴー,シャイトープ,まつりく,83.811,2025/02/07 19:11:19
マジで感謝!(アニメオープニングVer.),T-Pistonz+KMC,まつりく,89.129,2025/02/07 19:16:18
果てない空,嵐(アラシ),まつりく,94.290,2025/02/07 19:17:47
恋だろ,wacci,まつりく,93.696,2025/02/07 19:26:44
花束のかわりにメロディーを,清水翔太,まつりく,92.354,2025/02/07 19:32:28
ロングホープ・フィリア,菅田将暉,まつりく,88.852,2025/02/07 19:38:39
虹色の戦争,SEKAI NO OWARI(世界の終わり),まつりく,93.213,2025/02/07 19:44:32
道,EXILE,まつりく,92.845,2025/02/07 19:52:54
星を仰ぐ,菅田将暉,まつりく,91.768,2025/02/17 16:47:53
抱きしめたい(生音),Mr.Children,まつりく,87.994,2025/02/17 17:06:15
最後の雨(生音),中西保志,まつりく,89.849,2025/02/17 17:26:55
メランコリーキッチン,米津玄師,まつりく,89.522,2025/02/17 17:46:31
証(生音),flumpool,まつりく,88.887,2025/02/17 17:55:21
世界が終るまでは…(生音),WANDS,まつりく,87.251,2025/02/17 18:28:06
I LOVE YOU(生音),尾崎豊,まつりく,92.553,2025/02/17 18:46:53
灰色と青(+菅田将暉),米津玄師,まつりく,94.728,2025/02/17 20:15:25
星を仰ぐ,菅田将暉,まつりく,91.099,2025/02/18 16:25:10
恋,back number,まつりく,93.174,2025/02/18 16:56:27
ワンナイト,ヤングスキニー,まつりく,90.652,2025/02/18 17:28:55
チェックのワンピース,back number,まつりく,92.375,2025/02/18 17:38:02
さよーならまたいつか！,米津玄師,まつりく,84.251,2025/02/18 19:15:16
がらくた,米津玄師,まつりく,88.285,2025/02/18 19:24:01
vivi,米津玄師,まつりく,91.368,2025/02/18 19:38:16
手紙,back number,まつりく,91.392,2025/02/18 19:58:16
サマーワンダーランド,back number,まつりく,86.764,2025/02/18 20:10:15
home(歌スタ!!ver.),木山裕策,まつりく,92.752,2025/02/18 20:23:08
家族になろうよ,福山雅治,まつりく,89.553,2025/02/18 20:37:45
メトロノーム,米津玄師,まつりく,89.444,2025/02/18 20:52:46
灰色と青(+菅田将暉),米津玄師,まつりく,79.829,2025/02/18 21:02:45
エンディング,back number,まつりく,90.024,2025/02/18 21:34:46
桜,コブクロ,まつりく,88.172,2025/02/18 21:42:46
星を仰ぐ,菅田将暉,まつりく,92.781,2025/02/18 22:13:26
最後の雨,中西保志,まつりく,89.375,2025/02/18 22:25:46
白い恋人達,桑田佳祐,まつりく,90.930,2025/02/18 22:56:19
ワンナイト,ヤングスキニー,まつりく,88.887,2025/02/18 23:16:49
familie,Mrs. GREEN APPLE,まつりく,88.438,2025/02/18 23:26:14
ひまわりの約束,秦 基博,まつりく,92.113,2025/02/18 23:44:50
虹,嵐(アラシ),まつりく,92.480,2025/02/18 23:55:21
まちがいさがし,菅田将暉,まつりく,86.525,2025/02/19 00:17:45
ヤングアダルト,マカロニえんぴつ,まつりく,87.773,2025/02/19 00:27:19
哀しみロック,マカロニえんぴつ,まつりく,86.998,2025/02/19 00:45:01
ロングホープ・フィリア,菅田将暉,まつりく,87.860,2025/02/19 00:51:57
花束のかわりにメロディーを,清水翔太,まつりく,87.676,2025/02/19 02:52:30
チェックのワンピース,back number,まつりく,91.783,2025/03/16 13:37:40
僕と僕,川崎鷹也,まつりく,94.755,2025/03/16 13:52:16
歌うたいのバラッド,斉藤和義,まつりく,93.043,2025/03/16 14:06:42
灰色と青(+菅田将暉),米津玄師,まつりく,93.255,2025/03/16 14:26:36
恋,back number,まつりく,94.906,2025/03/16 14:42:18
シングルベッド,シャ乱Q,まつりく,94.407,2025/03/16 14:57:43
感情,wacci,まつりく,94.052,2025/03/16 15:15:00
哀しみロック,マカロニえんぴつ,まつりく,91.737,2025/03/16 15:30:16
虹,嵐(アラシ),まつりく,93.588,2025/03/16 15:43:03
道,EXILE,まつりく,94.169,2025/03/16 15:57:48
ダーリン,Mrs. GREEN APPLE,まつりく,91.797,2025/03/16 16:13:04
familie,Mrs. GREEN APPLE,まつりく,89.773,2025/03/16 16:27:17
別の人の彼女になったよ,wacci,まつりく,92.169,2025/03/16 16:38:28
366日,川崎鷹也,まつりく,89.932,2025/03/16 17:03:12
君に届け,flumpool,まつりく,94.487,2025/03/16 17:14:13
証,flumpool,まつりく,90.144,2025/03/16 17:30:24
シャルル,バルーン,まつりく,94.015,2025/03/16 17:50:00
花束のかわりにメロディーを,清水翔太,まつりく,91.132,2025/03/16 18:05:22
エンディング,back number,まつりく,91.461,2025/03/16 18:23:20
思い出せなくなるその日まで,back number,まつりく,87.860,2025/03/16 18:38:00
僕と僕,川崎鷹也,まつりく,94.040,2025/03/16 19:16:06
僕と僕,川崎鷹也,まつりく,95.986,2025/03/16 19:26:13
世界に一つだけの花,SMAP,まつりく,93.200,2025/03/16 20:06:50
桜,コブクロ,まつりく,94.298,2025/03/16 20:18:00
恋,back number,まつりく,93.358,2025/03/16 20:34:05
恋,back number,まつりく,94.526,2025/03/16 20:44:33
カレンダー,川崎鷹也,まつりく,93.784,2025/03/16 20:54:45
君の為のキミノウタ(ビデオクリップバージョン),川崎鷹也,まつりく,92.866,2025/03/16 21:05:03
Crazy Crazy,星野 源,まつりく,93.543,2025/03/16 21:16:59
地獄でなぜ悪い,星野 源,まつりく,92.729,2025/03/16 21:25:01
小さな恋のうた,MONGOL800,まつりく,90.056,2025/03/16 21:34:33
ライラック,Mrs. GREEN APPLE,まつりく,88.375,2025/03/16 21:44:53
結,Saucy Dog,まつりく,86.957,2025/03/16 21:53:33
いつか,Saucy Dog,まつりく,84.958,2025/03/16 21:59:42
哀しみロック,マカロニえんぴつ,まつりく,86.740,2025/03/18 20:05:51
僕と僕,川崎鷹也,まつりく,91.024,2025/03/18 20:18:28
ウィーアー!,きただにひろし,まつりく,88.159,2025/03/18 20:39:05
fish,back number,まつりく,89.718,2025/03/18 22:01:12
秘密のキス,back number,まつりく,85.291,2025/03/18 22:14:23
わたがし,back number,まつりく,82.450,2025/03/18 22:43:02
がらくた(ビデオクリップバージョン),米津玄師,まつりく,88.096,2025/03/19 01:19:37
星を仰ぐ,菅田将暉,まつりく,93.614,2025/03/19 04:09:02
さよならエレジー,菅田将暉,まつりく,90.614,2025/03/19 04:18:47
メランコリーキッチン,米津玄師,まつりく,87.716,2025/03/19 04:30:56
虹色の戦争,SEKAI NO OWARI(世界の終わり),まつりく,88.546,2025/03/19 04:39:10
黄色,back number,まつりく,89.227,2025/03/19 04:49:42
最後の雨,中西保志,まつりく,86.360,2025/03/19 05:14:52
僕と僕,川崎鷹也,まつりく,93.681,2025/03/29 23:20:41
セプテンバーさん,RADWIMPS,まつりく,88.849,2025/03/29 23:36:11
星を仰ぐ,菅田将暉,まつりく,92.370,2025/03/29 23:52:31
地獄でなぜ悪い,星野 源,まつりく,92.526,2025/03/30 00:01:45
くだらないの中に,星野 源,まつりく,92.028,2025/03/30 00:14:38
himawari,Mr.Children,まつりく,90.058,2025/03/30 00:30:39
ドライフラワー,優里,まつりく,94.335,2025/03/30 00:45:14
かくれんぼ,優里,まつりく,92.602,2025/03/30 01:00:07
僕と僕,川崎鷹也,まつりく,96.357,2025/03/31 18:32:24
さよならエレジー,菅田将暉,まつりく,94.627,2025/03/31 18:48:39
魔法の絨毯,川崎鷹也,まつりく,92.578,2025/03/31 19:02:23
猫,DISH//,まつりく,92.194,2025/03/31 19:16:03
ピースサイン,米津玄師,まつりく,90.448,2025/03/31 19:29:53
チェックのワンピース,back number,まつりく,93.807,2025/03/31 19:45:25
Family Song,星野 源,まつりく,93.913,2025/03/31 20:00:22
リンジュー・ラヴ,マカロニえんぴつ,まつりく,89.959,2025/03/31 20:14:39
勇気100%,光GENJI,まつりく,90.226,2025/03/31 20:26:44
SUN,星野 源,まつりく,93.019,2025/03/31 20:40:45
ピーターパン,優里,まつりく,88.530,2025/03/31 20:55:40
僕は君の事が好きだけど君は僕を別に好きじゃないみたい,back number,まつりく,93.091,2025/03/31 21:08:39
Monster,嵐(アラシ),まつりく,93.962,2025/03/31 21:23:48
天体観測,BUMP OF CHICKEN,まつりく,92.026,2025/03/31 21:37:49
エンディング,back number,まつりく,94.001,2025/03/31 21:50:22
fish,back number,まつりく,94.405,2025/03/31 22:04:52
瞳をとじて,平井堅,まつりく,92.233,2025/03/31 22:21:17
HAPPY BIRTHDAY,back number,まつりく,92.888,2025/03/31 22:36:51
ハッピーエンド,back number,まつりく,90.302,2025/03/31 22:49:33
ベルベットの詩,back number,まつりく,89.978,2025/03/31 23:03:26
ウィーアー!,きただにひろし,まつりく,90.082,2025/03/31 23:16:27
レオ,優里,まつりく,92.047,2025/03/31 23:28:56
サクラウサギ,川崎鷹也,まつりく,93.977,2025/03/31 23:42:00
星を仰ぐ,菅田将暉,まつりく,94.299,2025/03/31 23:55:28
星を仰ぐ,菅田将暉,まつりく,93.447,2025/04/01 00:09:56
星を仰ぐ,菅田将暉,まつりく,94.965,2025/04/01 00:18:41
シングルベッド,シャ乱Q,まつりく,93.788,2025/04/01 00:28:58
小さな恋のうた,MONGOL800,まつりく,93.529,2025/04/01 00:39:36
地獄でなぜ悪い,星野 源,まつりく,92.606,2025/04/01 00:48:36
灰色と青(+菅田将暉),米津玄師,まつりく,95.749,2025/04/01 00:57:14
桜,コブクロ,まつりく,94.842,2025/04/01 01:09:14
道,EXILE,まつりく,95.266,2025/04/01 01:21:59
果てない空,嵐(アラシ),まつりく,94.436,2025/04/01 01:31:56
恋,back number,まつりく,94.481,2025/04/01 01:40:35
星を仰ぐ,菅田将暉,まつりく,90.448,2025/04/01 01:50:54
僕と僕,川崎鷹也,まつりく,95.315,2025/04/03 16:06:23
君の為のキミノウタ,川崎鷹也,まつりく,94.660,2025/04/03 16:18:30
サクラウサギ,川崎鷹也,まつりく,92.827,2025/04/03 16:29:24
fish,back number,まつりく,94.274,2025/04/03 16:39:41
猫,DISH//,まつりく,91.789,2025/04/03 16:50:49
エンディング,back number,まつりく,93.578,2025/04/03 17:00:43
恋だろ,wacci,まつりく,91.871,2025/04/03 17:10:53
星を仰ぐ,菅田将暉,まつりく,94.981,2025/04/03 17:19:54
感情,wacci,まつりく,94.597,2025/04/03 17:29:30
道,EXILE,まつりく,94.697,2025/04/03 17:40:04
ドライフラワー,優里,まつりく,94.646,2025/04/03 17:50:51
僕と僕,川崎鷹也,まつりく,94.770,2025/04/03 18:12:41
僕と僕,川崎鷹也,まつりく,94.456,2025/04/03 18:23:21
僕と僕,川崎鷹也,まつりく,95.391,2025/04/03 18:38:39
水平線,back number,まつりく,92.720,2025/04/03 18:49:31
別の人の彼女になったよ,wacci,まつりく,93.549,2025/04/03 19:01:02
灰色と青(+菅田将暉),米津玄師,まつりく,94.477,2025/04/03 19:13:05
Lemon,米津玄師,まつりく,92.254,2025/04/03 19:23:54
3月9日,レミオロメン,まつりく,92.658,2025/04/03 19:33:06
世界に一つだけの花,SMAP,まつりく,92.951,2025/04/03 19:42:06
星を仰ぐ,菅田将暉,まつりく,93.281,2025/04/03 19:51:54
fish,back number,まつりく,91.311,2025/04/03 20:01:38
世田谷ラブストーリー,back number,まつりく,89.979,2025/04/03 21:18:14
新しい恋人達に,back number,まつりく,91.731,2025/04/03 21:27:06
怪盗,back number,まつりく,88.546,2025/04/03 21:40:00
冬と春,back number,まつりく,91.706,2025/04/03 21:46:53
繋いだ手から,back number,まつりく,93.708,2025/04/03 21:51:37
日曜日,back number,まつりく,86.739,2025/04/03 22:03:08
アップルパイ,back number,まつりく,85.729,2025/04/03 22:33:21
別の人の彼女になったよ,wacci,まつりく,93.817,2025/04/03 22:41:41
別の人の彼女になったよ,wacci,まつりく,94.647,2025/04/04 00:46:19
君に届け,flumpool,まつりく,95.498,2025/04/04 00:57:26
桜,コブクロ,まつりく,94.269,2025/04/04 01:10:54
桜,コブクロ,まつりく,94.595,2025/04/04 01:22:50
桜,コブクロ,まつりく,95.260,2025/04/04 01:34:10
シングルベッド,シャ乱Q,まつりく,93.550,2025/04/04 01:46:15
シングルベッド,シャ乱Q,まつりく,94.928,2025/04/04 01:57:52
道,EXILE,まつりく,93.337,2025/04/04 02:10:48
大不正解,back number,まつりく,89.546,2025/04/04 02:29:09
別の人の彼女になったよ,wacci,まつりく,93.579,2025/04/04 02:37:48
僕と僕,川崎鷹也,まつりく,95.966,2025/04/04 02:55:36
僕と僕,川崎鷹也,まつりく,94.905,2025/04/08 15:38:29
灰色と青(+菅田将暉),米津玄師,まつりく,93.572,2025/04/08 15:48:03
星を仰ぐ,菅田将暉,まつりく,93.512,2025/04/08 15:58:13
君に届け,flumpool,まつりく,93.599,2025/04/08 16:07:58
チェックのワンピース,back number,まつりく,94.675,2025/04/08 16:17:49
さよならエレジー,菅田将暉,まつりく,93.206,2025/04/08 16:27:10
別の人の彼女になったよ,wacci,まつりく,94.675,2025/04/08 16:36:04
fish,back number,まつりく,95.264,2025/04/08 16:46:04
猫,DISH//,まつりく,92.697,2025/04/08 16:56:50
ドライフラワー,優里,まつりく,93.003,2025/04/08 17:05:49
僕と僕,川崎鷹也,まつりく,96.300,2025/04/08 17:15:08
僕と僕,川崎鷹也,まつりく,95.502,2025/04/08 17:24:02
僕と僕,川崎鷹也,まつりく,96.437,2025/04/08 17:32:47
灰色と青(+菅田将暉),米津玄師,まつりく,96.908,2025/04/08 17:43:16
星を仰ぐ,菅田将暉,まつりく,94.907,2025/04/08 17:53:05
星を仰ぐ,菅田将暉,まつりく,95.097,2025/04/08 18:02:32
桜,コブクロ,まつりく,94.818,2025/04/08 18:13:50
桜,コブクロ,まつりく,95.692,2025/04/08 18:24:40
チェックのワンピース,back number,まつりく,94.449,2025/04/08 18:35:22
エンディング,back number,まつりく,95.253,2025/04/08 18:45:02
君の為のキミノウタ,川崎鷹也,まつりく,93.650,2025/04/08 18:55:04
果てない空,嵐(アラシ),まつりく,95.355,2025/04/08 19:03:47
Monster,嵐(アラシ),まつりく,95.031,2025/04/08 19:12:43
水平線,back number,まつりく,94.762,2025/04/08 19:21:41
水平線,back number,まつりく,93.246,2025/04/08 19:30:52
水平線,back number,まつりく,94.291,2025/04/08 19:43:01
水平線,back number,まつりく,93.678,2025/04/08 19:52:25
水平線,back number,まつりく,94.189,2025/04/08 20:01:43
Family Song,星野 源,まつりく,90.710,2025/04/08 21:18:07
くだらないの中に,星野 源,まつりく,93.847,2025/04/08 21:24:24
くだらないの中に,星野 源,まつりく,94.486,2025/04/08 21:29:58
地獄でなぜ悪い,星野 源,まつりく,92.184,2025/04/08 21:34:58
恋,星野 源,まつりく,92.166,2025/04/08 21:39:01
君の恋人になったら,back number,まつりく,87.855,2025/04/08 22:12:56
ハッピーエンド,back number,まつりく,90.872,2025/04/08 22:21:34
サマーワンダーランド,back number,まつりく,89.991,2025/04/08 22:32:24
オールドファッション,back number,まつりく,89.398,2025/04/08 22:40:32
Pretender,Official髭男dism,まつりく,90.518,2025/04/08 22:51:20
繋いだ手から,back number,まつりく,87.959,2025/04/08 23:02:07
赤い糸,コブクロ,まつりく,94.183,2025/04/09 00:03:10
大きな古時計,平井堅,まつりく,94.029,2025/04/09 00:13:29
大きな古時計,平井堅,まつりく,92.644,2025/04/09 00:22:52
StaRt,Mrs. GREEN APPLE,まつりく,88.923,2025/04/09 00:28:26
青と夏,Mrs. GREEN APPLE,まつりく,85.232,2025/04/09 00:36:48
恋だろ,wacci,まつりく,91.354,2025/04/09 00:50:17
水平線,back number,まつりく,94.252,2025/04/10 16:53:34
